id,event,condition,language,text,clip_path,duration_s,licence_provider,review_status
intro_1,first_ball,,roman_urdu,"Tayyar? Ball pe nazar!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
intro_1,first_ball,,english,"Ready? Eyes on the ball!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_1,six,,roman_urdu,"Kya shot hai! Seedha chhakka!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_1,six,,english,"What a shot! That's six!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_2,six,,roman_urdu,"Seedha boundary ke paar!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_2,six,,english,"That clears the rope!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_3,six,,roman_urdu,"Chhat pe gayi ball!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
six_3,six,,english,"That's gone onto the rooftops!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_1,four,,roman_urdu,"Chauka! Zabardast timing!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_1,four,,english,"Four! Beautifully timed!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_2,four,,roman_urdu,"Ball rassi tak daud gayi!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_2,four,,english,"Races away to the rope!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_3,four,,roman_urdu,"Koi nahi rok sakta isse!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
four_3,four,,english,"Nobody's stopping that one!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
perfect_runs,runs,timing=perfect,roman_urdu,"Kya timing hai!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
perfect_runs,runs,timing=perfect,english,"Sweetly struck!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_1,runs,runs>=2,roman_urdu,"Bhaago, bhaago! Do run!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_1,runs,runs>=2,english,"Run hard, they'll get two!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_2,runs,runs==1,roman_urdu,"Ek run, strike ghumao.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_2,runs,runs==1,english,"Push for one, keep it moving.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_3,runs,runs==3,roman_urdu,"Teen run! Kya daud hai!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
runs_3,runs,runs==3,english,"Three! Great running!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_early,dot,timing=miss_early,roman_urdu,"Is dafa thora jaldi.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_early,dot,timing=miss_early,english,"A little early that time.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_late,dot,timing=miss_late,roman_urdu,"Thora der ho gayi.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_late,dot,timing=miss_late,english,"Just a touch late.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_none,dot,timing=none,roman_urdu,"Ball ko jaane diya.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_none,dot,timing=none,english,"Left that one alone.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
